" İÇERİK"," SINIF"
" Hey, sanırım burada neyle uğraştığımızı biliyorum!!!! Bunun nasıl 2 milyar hit alabildiğine dair bazı teorilerim var!! 1. Bu muhtemelen Kore'de yapıldı ve orada gerçekten popüler, bu yüzden bunu tekrar tekrar izlemek zorunda kaldılar. 2. 2 milyardan fazla insan YouTube dahil internete erişebiliyor ve sayılar artıyor, 2017'ye kadar nüfusun yarısı internete bağlı olacak. 3. Kore'deki hackerlar bunu o kadar çok sevmiş olabilirler ki daha popüler hale getirmek için 2 milyar hite çıkardılar. 4. Şarkı sadece bir dans oyununda, birden fazla mp3'te yer aldı ve konserlerde ve hatta 2012'de yılbaşı gecesi etkinliğinde görüldü, bu yüzden sadece bunları görerek bu videoya daha fazla hit ekliyor olabilirsiniz. 5. Bunun nasıl 2 milyar hit aldığından çok fazla şikayet ediyorsunuz.","0"
" kanalıma abone olun","1"
" BU, QUEEN VE MICHAEL JACKSON'DAN DAHA FAZLA GÖRÜNTÜLENMİŞ, 2 MİLYAR GÖRÜNTÜLENME aman Tanrım","0"
" LoL﻿","0"
" Son milisaniyede 1:39'da duraklarsanız o kızın gülmek üzere olduğunu görebilirsiniz. Birkaç deneme gerekir.","0"
" 9 yaşındaki çocuklar, 'Dünyada sadece 3 kişi varken bu videonun nasıl 2 milyar izlenmesi oldu?' diyorlar.","0"
" PSY iyi bir adamdır","0"
"BU ŞARKI NEDEN 2 MİLYAR İZLENMİŞ, BU ŞARKI BU KADAR SİNİR BOZUCU","0"
" https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿","1"
" 1 milyon beğenmediiii ...","0"
" Küçük PSY beyin tümörü geçiriyor ve sadece 6 ay ömrü kaldı. Lütfen ona dua edin ve bol şanslar dileyin.","0"
" Dışarıdaki tüm küçük çocuklar için, dünyada 7 ila 8 milyar insan var, 7 ila 8 MİLYON değil. Yorum yazmadan önce gerçekleri öğrenin.","0"
" İnsanlık ne kadar aptal","0"
" Videomu izlemeye gelin, adı Odowd Crowd Zombi Filmi Bölüm 1","1"
" Bir şarkının ne kadar kötü olduğunu, ne söylediğini öğrenmek için Google Translate'i kullanmak zorunda kaldığında anlarsın!﻿","0"
" Anladık, manzara için buraya geldiniz...","0"
" Vay canına bu video youtube'da en çok izlenen video.. ikincisi Justin Bieber geliyor-bebeğim SMH DÜNYA NE HALE GELDİ","0"
" Hey, içeriklerimi paylaştığım bir yayın platformu olan tsu'da bana katılın: http://tsu.co/MarkusMairhofer﻿","1"
"Bu şarkı harika, 2.127.315.950 kez görüntülendi vay canına","0"
" Bunu 2014'te izliyorum","0"
" Youtube'da en çok izlenen video...daaaaaaaaaaannng bu izlenmeler neredeyse tüm Çin'i ele geçirebilir...﻿","0"
" Dünyada sadece 7 milyon insan varsa bu videonun nasıl 2.127.322.484 kez izlendiği nasıl anlaşılıyor?","0"
" Gangnam tarzım ne?","0"
" Lol bu youtuber (officialpsy) çok fazla para kazanıyor lol","0"
" 1 milyon beğenmeme!BÜYÜK BAŞARISIZLIK(siz fanboylar için hazır)﻿","0"
" Korece bilseydim, bu daha da komik olurdu. En azından sonundaki bir kısım İngilizceydi, ancak oldukça hızlı konuşuluyordu.","0"
" ""Gezegende sadece 7 milyon izlenme varsa bunun nasıl iki milyar izlenme aldığını"" anlatmaya yeter artık. Şaka yapıyorsunuz. Artık komik değil.","0"
" Eğer 100 aboneye ulaşırsam, Freddy Mercury'nin hayaletini çağırıp One Direction ve Miley Cirus'u yeryüzünden sileceğim.","1"
" 100 aboneye ulaşırsam halkın arasına çıkıp insanların üzerine bir kova buzlu su dökeceğim ve sonra sanki ben değilmişim gibi davranarak kaçacağım! İnsanlar görsün diye!!","1"
" YOUTUBE PARASI !!!!!!!!!!!!!!!!!!!!!!!﻿","0"
" Bu saçmalık için 2 milyar mı?","0"
" 2 milyar görüntüleme, sadece 2 milyon paylaşım﻿","0"
" Merhaba arkadaşlar, adım Dylan ve gerçek hayatta futbol videoları çekiyorum. 1030 abonem var ve içeriklerimi beğeneceğinizi düşünüyorum, gelin ve abone olursanız sevinirim!﻿","1"
" Eğer yarına kadar 300 aboneye ulaşırsam destansı bir Açlık Oyunları Videosu yapacağım!","1"
" takipçi lütfen https://www.facebook.com/lists/161620527267482﻿","1"
" 2 milyar izlenme vay canına justin beibs'in bir bebeğinin bile bu kadarı yok o büyük harfli bir ismi hak etmiyor","0"
" 100 aboneye ulaşırsam kendimi ve arkadaşımı tazzlayacağım","1"
" Lütfen üniversiteye gitmeme yardım edin çocuklar! Kalbimin derinliklerinden teşekkür ederim. https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿","1"
"https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_ fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~ ;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater","1"
" Ben çok harika ve zekiyim!!! Bana abone olun!﻿","1"
" Takip Et 4 Takip Et @ VaahidMustafic Beğen 4 Beğen","1"
" http://hackfbaccountlive.com/?ref=4436607 psy news offıcal","1"
"https://www.facebook.com/nicushorbboy beni ekle  ;3  ;3﻿","1"
"Spam için özür dilerim ama benim adım Jenny. Herkesin şık giyindiği bir liseye gidiyorum ama ben öyle değilim çünkü sevimli kıyafetler almak için paraya ihtiyacım var. Özgüvenim düşük. Babamla yaşıyorum. Annem ben 6 yaşındayken vefat etti bu yüzden gerçekten bir anne figürüm yok. Benden büyük 2 erkek kardeşim var. Erkek oldukları için ben yalnızken onlar tüm ilgiyi üzerlerine çekiyorlar. Okulumdaki kızlar gibi güzel kıyafetler giymek ve bir erkek arkadaş edinmek istiyorum. Kendim olamıyorum. Okulda çok sessiz ve utangacım çünkü biriyle konuşacak özgüvenim yok. Caroline adında bir arkadaşım vardı ama taşındı bu yüzden şimdi yalnızım. Bana biraz para bağışlayabilirseniz harika olur. Pahalı markaları umursamıyorum sadece Walmart'tan alışveriş yapıyorum çünkü güzel kıyafetleri var. Ayrıca tırnaklarımı bir kuaförde yaptırmak istiyorum. Birçok kızın bu Fransız uçlarına sahip olduğunu görüyorum. Daha önce hiç tırnaklarımı kuaförde yaptırmadım, eğer yapabilirsem ve saçımı da kıvırırsam çok sevinirim. http://www.gofundme.com/dressprettyonce teşekkürler aman tanrım lütfen.﻿","1"
" Bu şarkıdan nefret ediyorum!","0"
" lütfen kanalıma abone olun","1"
" YENİ HEDEF! 3.000.000! Hadi başlayalım!﻿","0"
" Bir sineğin diri diri yandığını görmek istiyorsanız kanalıma gidin","1"
" sadece manzarayı kontrol etmeye geldim :P","0"
" YENİ YOUTUBE KANALIMI ZİYARET EDİN, HER GÜN YAYIN YAPACAĞIM!﻿","1"
"Ne dediğini kesinlikle bilmiyorum. Bu bir dil mi?","0"
" Lütfen videolarıma bakın beyler","1"
" Hala bu videonun neden bu kadar popüler olduğunu merak ediyorum ?? illuminati onayladı ??﻿","0"
" Hey millet, lütfen kanalıma göz atabilir misiniz? Ben el sanatları videoları çekiyorum. 20 abone hedefleyelim.","1"
" Bu artık eskidi.........﻿","0"
" LÜTFEN BANA ABONE OLUN!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","1"
" sadece görüntülenme sayısını kontrol etmeye geldim","0"
" Müzik Videolarıma göz atın! Fuego - U LA LA Remix hyperurl.co/k6a5xt﻿","1"
" Müzik Videolarıma göz atın! ve LÜTFEN ABONE OLUN!!!! Fuego - U LA LA Remix hyperurl.co/k6a5xt﻿","1"
" www.marketglory.com/strategygame/lordviperas﻿","1"
" Eğer o pis Çin Hükümeti orada YouTube'u engellemeseydi, şu anda yaklaşık 3 milyar izlenme olurdu.","0"
" DÜNYA REKORU YOUTUBE VİDEO İZLENMELERİ !!!!!! XD﻿","0"
" Sanırım bu esnada sarhoştu :) x)﻿","0"
" Araba kullanırken güneşe maruz kalmayı sınırlayın. Araba siperliğini ön cam ile pencere arasında sallama zahmetinden kurtulun. https://www.kickstarter.com/projects/733634264/visortwin﻿","1"
" Hahah, juyk! 1:57. kısma her zaman gülerim.. LOL!﻿","0"
" http://hackfbaccountlive.com/?ref=5242575﻿","1"
" 00:58'de dans eden adamın adını bilmek istiyordum, bilen var mı?","0"
" https://www.facebook.com/FUDAIRYQUEEN?pnref=story​","1"
"Haha, batılıların youtube'da en çok izlenen videoların, kendilerinin bile anlamadığı videolara gitmesi çok komik, tuzunuzu kaybetmeyin!","0"
" ŞİRKETİMİ TWITTER'DAN TAKİP EDİN teşekkürler. https://twitter.com/TheWaxedHatCo﻿","1"
" bu adamın tüm bu görüntülemelerle adsense koyduğunu hayal edin... ipotek borcunuzu ödeyebilirsiniz","0"
" Merhaba, bizi ziyaret edin, Youtube'da yeniyiz. Düşüncelerinizi bizimle paylaşın ve abone olmayı unutmayın. Teşekkürler.","1"
" Tren yolculuğunda dans eden kızın kıyafeti çok seksiydi ama en büyük eksisi kaşlarının olmamasıydı D:﻿","0"
"Resimlere bakın, zor değilse http://image2you.ru/48051/1340524/ http://image2you.ru/48051/1340523/ http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/ http://image2you.ru/48051/1340520/ http://image2you.ru/48051/1340519/ http://image2you.ru/48051/1340518/ http://image2you.ru/48051/1340517/ http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/ http://image2you.ru/48051/1340502/ http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/ http://image2you.ru/48051/1340494/ http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/ http://image2you.ru/48051/1340491/ http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/ http://image2you.ru/48051/1340488/","1"
"Kusura bakmayın, sadece izlenmelerin ne kadar olduğuna bakıyorum : )﻿","0"
" Merhaba arkadaşlar, YouTube kanalıma göz atabilir misiniz? Bunun gibi yorumlardan nefret ettiğinizi biliyorum ama videolarımı kontrol ederseniz eğlenceli olacağına söz veriyorum. Tüfek Montajları, Ninja Defuse Montajları ve Trolleme yapıyorum. Lütfen bunlara göz atabilir misiniz? İyi günler dilerim!!!!!!!!﻿","1"
" 2 milyar izlenme almak için nasıl hack'lediğiyle ilgili şaka yapan herkese, çünkü belli sayıda insan var ya da neyse, aslında izlenme satın aldı.","0"
" https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;tiyatro ﻿","1"
"https://www.facebook.com/eeccon/posts/733949243353321?comment_id=734237113324534&amp;offset=0&amp;total_comments=74 lütfen frigea marius gabriel yorumunu beğenin :D","1"
" http://www.bing.com/explore/rewards?PUBL=REFERAFRIEND&amp;CREA=RAW&amp;rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca Bing ödülleri, ücretsiz para kazanın. VE HAYIR VİRÜSÜNÜZÜ MAVİ OLARAK ALMAZSINIZ!﻿","1"
" Lütfen bu yeni Noel tişörtlerini satın alın! 4 Aralık'tan önce istediğiniz zaman satın alabilirsiniz ve dünya çapında satılmaktadır! Kaçırmayın: http://teespring.com/treechristmas﻿","1"
" Free my apps 1m kredi kazanın! Sadece bağlantıya tıklayın ve bir uygulama indirin ve tamamdır!! · Bağlantı: https://m.freemyapps.com/share/url/5af506e1﻿","1"
" Böyle bir şarkı neden Michael Jackson'dan daha fazla izleniyor SMH﻿","0"
" Dans edebileceğiniz bir şey, üzgün olsanız bile SADECE dans edin!! PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿","0"
" herkes geri döndü lol bu neredeyse 3 yıl oldu ve insanlar hala burada! xD﻿","0"
" Gezegende sadece ben varken bu nasıl 2 milyar izlenmeye sahip olabilir? LOL﻿","0"
" 2014'te bunu neden izlediğimi bilmiyorum","0"
" Call of Duty videoları ve hediyeler için bana abone olun Goal-100 aboneleri","1"
" Merhaba arkadaşlar lütfen android fotoğraf düzenleyicimi indirin. Teşekkürler https://play.google.com/store/apps/details?id=com.butalabs.photo.editor﻿","1"
" İlk bir milyar kişi bunu gerçekten harika bulduğu için izledi, diğer bir buçuk milyar kişi ise ilk bir milyarın ne kadar aptal olduğunu görmek için geldi...﻿","0"
" +447935454150 tatlı kız benimle konuş xxx﻿","1"
" Her zaman bu şarkıya geri dönüyorum<br />﻿","0"
" kız kardeşim şu anda 6.500'den fazla yeni <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube görüntülemesi aldı. Kullandığı tek şey pimpmyviews. com'du","1"
" Harika﻿","0"
" Merhaba, ben Filistin'denim.","1"
"Vay canına bu videonun neredeyse bir milyar izlenmesi var! Bu kadar popüler olduğunu bilmiyordum","0"
" Lütfen Four Wheels adlı rap videomu izleyin ❤️﻿","1"
" Yaklaşık 1 milyar","0"
" Aslamu Lykum... Pakistan'dan","1"
" Eminem, İspanya ve Meksika veya Latin Amerika'daki birçok insanın idolüdür.","0"
" Lütfen 50 abone almama yardım edin","1"
" şarkıyı seviyorum :)﻿","0"
"Tamam hanımlar, eğer bu şarkıyı beğendiyseniz, o zaman John Rage'e bir göz atın. Oyuna giren ateşli bir rapçi. Sözleri açısından Eminem'den daha iyi değil ama daha ateşli. Şarkılarından bazılarını kanalımda dinleyin.","1"
" Kocalardan gelen tacizin mükemmel bir örneği ve mesele şu ki ben bir feministim bu yüzden kesinlikle bu şarkıya katılıyorum ve eğer bunu görürsem biri ölecek! Sadece söylüyorum.","0"
" Erkek arkadaşı LOST adlı TV dizisindeki Charlie'ydi","0"
" <a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿","1"
" YouTube'daki bu videoya bir göz atın:","1"
" Güzel Beatler için Kanalımıza göz atın!!﻿","1"
" Rihanna ve Eminem birlikte durdurulamazlar.","0"
" YouTube'daki bu oynatma listesine göz atın:","1"
" Bu şarkı Tecavüz ve Aldatma ile ilgili <br /><br /><br /><br /><br /><br /><br /><br /><br />Temel olarak.. ...﻿","0"
" lütfen beğenin","1"
" Bu şarkıyı seviyorum, 5 yıl önce olduğuna inanamıyorum, ama eskimiyor","0"
"Aman Tanrım bu tıpkı Harry Potter ve Ölüm Yadigarları'ndaki aynanın bir parçasına benziyor.<br />Ya da o ev. (sirius black)﻿","0"
" İlk şarkım &quot;I Want You&quot;yu paylaştım ve umarım beğenirsiniz. Dinleyin!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿","1"
" Gelip müziğimi dinleyin! Bir sürü videoda spam yapıyorum ama bu sadece müziğimi yeni insanlara ulaştırmaya çalışmak için","1"
" YouTube'daki bu oynatma listesine göz atın:","1"
" HUH HYUCK HYUCK BEN ÖZELİM BUNU 2015'TE İZLEYENLER İÇİN. AVUSTRALYA'DANIM YA DA BİR YERDEN. LÜTFEN BANA DİKKAT EDİN. BEN SADECE HAYALLERİ OLAN BİR RAPÇİYİM. BUNU GOOGLE PLUS'TA PAYLAŞACAĞIM ÇÜNKÜ ÇOK HAVALIYIM.","1"
" Sen tam olarak olmak istediğin kişisin, televizyonda en sevdiğin rapçileri izliyorsun","0"
" Rihanna bu videoda kesinlikle muhteşem.","0"
" YouTube'daki bu videoyu izleyin:<br /><br />Bu şarkıyı seviyorum... Her şey yolunda, asla eskisi gibi olmayacağım ama tutkuyu her zaman hatırlayacağım ama asla işlevsiz deliliğe geri dönmek istemiyorum....... Amaç mutlu yaşamak, delirerek yaşamak değil.","1"
" Birini çok fazla sevme, yalan söyleme şeklini sev..","0"
" müzik tarihinin EN İYİ ŞARKILARINDAN biri","0"
"YouTube'daki bu oynatma listesine göz atın:","1"
" YouTube'daki bu videoyu izleyin:","1"
" YouTube'daki bu videoyu izleyin:","1"
" Hayır-Yalan söyleme şeklinden nefret ediyorum!!﻿","0"
" Eminem'i siktir et. Bieber en iyisi  ;3﻿","0"
" YouTube'daki bu oynatma listesine göz atın:chcfcvzfzfbvzdr﻿","1"
" YouTube'daki bu oynatma listesine göz atın:","1"
"Küçük bir kafiye paylaşacağım, Canibus Eminem'i katrilyonlarca kez alt ediyor, özellikle de zihnindeki akıllı şeylerin kategorileri hakkında. Eminem ilk kafiyesini söylemeden önce öğrendiği ve rap yaptığı ve unuttuğu. Luv ya Linz 4e﻿","1"
" YouTube'daki bu videoyu izleyin:","1"
" YouTube'daki bu videoyu izleyin<br /><br /><br />﻿","1"
" YENİ REMİKS'E BAKIN!!!<br />TIK TIK!!﻿","1"
" YouTube'daki bu oynatma listesine göz atın:","1"
"Ben şahsen hiç taciz edici bir ilişkide bulunmadım. Muhtemelen de asla olmayacağım. Kadınlara vurmam. Annem, babamın gitmeden önce annemi dövdüğünü söyledi. Anlayabiliyorum. Şu anda bir tanesi hakkında yazıyorum, duymak için abone olun. HER hayran önemlidir.","1"
" Aşk😘❤💖﻿","0"
" Haha, kaç çocuğun Eminem dinlediğine inanamıyorum. Siz çocuklar onun uyuşturucu kullandığını ve hapishanede yükseklerde son bulduğunu biliyorsunuz. Neden OD'yi hiç bitirmediğini merak ediyorum.","0"
" lütfen bana abone olun","1"
" YouTube'daki bu videoyu izleyin:","1"
"Evet arkadaşlar, 50 Cent Your Life Is On The Line'a yaptığımız remiks'i dinleyin. Youtube kanalımızı yeni açtık ve her zaman çok çalışıyoruz. Son şarkımız hakkında bize geri bildirimde bulunun, eğer beğendiyseniz ne düşündüğünüzü belirtin ve destek gösterin.","1"
" bu m&m'in 2. en iyi şarkısı ""When I Going""","0"
" YouTube'daki bu videoyu izleyin:","1"
" EMINEM İÇİN 1.000.000.000'A GİDİYORUZ","0"
" Eminem ve Rihanna şarkıyı çok güzel söylüyorlar.","0"
" Bana abone ol gizli videolar :D﻿","1"
" YouTube'daki bu videoyu izleyin:","1"
" YouTube'daki bu videoyu izleyin: ama ben Rhinnah değilim","1"
" Temiz Eminem için bana abone olun!","1"
" Hey youtuberlar... {**}Bunu okumak için zaman ayıran hepinize gerçekten minnettarım, ben sadece müzik dünyasında başarılı bir müzisyen olmak isteyen 19 yaşında bir gencim. {**}Kanalımı tanıtmak için param yok, {**}Kanalımı ziyaret edebilir, videoma yorum yapabilir veya abone olabilirseniz harika olur.... {**}Hayatınızın sadece birkaç saniyesi olacak..... {**}Bana bir şans veren herkese teşekkür ederim, gerçekten minnettarım","1"
" YALAN SÖYLEME BİÇİMİNİ SEVİYORUM...&quot;﻿","0"
" YouTube'daki bu videoyu izleyin:","1"
" Bu adam uyuyarak dolar kazanıyor... mmm gezegeni seviyor, gerizekalılarla dolu","1"
" Bu şarkının bizim cover'ımıza bir göz atın!","1"
" YouTube'daki bu videoyu izleyin:","1"
" iyi","0"
" 2015 ama ben hala bunu dinliyorum!﻿","0"
" Eminem'in en çok izlenen videosu nasıl oluyor da Not Fear'ı geçiyor?","0"
" Komik skeçler için kanalımı inceleyin! Teşekkürler!","1"
"hahahahah ♥♥♥♥ :D Vine'ları sever misin? Günlük vine'lar için bana abone ol","1"
" lütfen bunu okuyun lütfen! ben biri olmaya çalışan bir country şarkıcısıyım. bu yüzden videolarımı istiyorsanız lütfen yazın... buradaki oğlanlar, country kızları (sadece bilgisayarda) tüm bu gözyaşlarını boşa harcıyorlar ve lütfen abone olun ve beğenin","1"
" YouTube'daki bu videoyu izleyin:","1"
" ARKADAŞLAR BU VİDEOYU PAYLAŞIN!!!!! 1.000.000.000 izlenmesi olması lazım Facebook'ta, gruplarda, sayfalarda paylaşın!!","1"
" Eminem - Rap God SÖZ VİDEOSUNA BAKIN","1"
" Bu şarkıyı seviyorum","0"
"Rihana, Beni Sev. :(﻿","0"
" bu yorumu beğenin ve 1337 yazın","1"
" Bu Lost'taki Charlie mi?<br />﻿","0"
" megan fox'u kim aldatıyor","0"
" o megan fox﻿","0"
" Müziği seviyorum","0"
" bu yorumu beğenin ve ardından 1337 yazın","1"
" ❤❤❤❤❤❤❤﻿","0"
" sıcak, sıcak","0"
" YouTube'daki bu videoyu izleyin:","1"
" Vay canına, Justin Bieber daha iyi, bu yüzden ilaç aldığında bunu hep aptal parasıyla Alfred'le paylaşıyor ama ne yazık ki o ilgi odağı, pis bir kıçı ve farelerle dolu bir yeme bozukluğu var, ayrıca Samurman gücüyle yiyebildiği alev alev yanan Cheetos'lar da var.","1"
" bu lanet şarkı oreo gibi tek beyaz kısmı iyi 1","0"
"eminem'in en iyi şarkılarından biri değil, gerçek hayranlar ne demek istediğimi biliyor: İsimsiz, soğuk rüzgar esiyor, cehenneme hoş geldin, asansör, iş, wtp, neredeyse ünlü, 25'ten hayata, en dip nokta, özür yok, aynı şarkı ve dans, bensiz, olduğum gibi, oyuncak askerler, mosh ve insane  ; aklıma gelen şarkılar bu daha iyi","0"
" Sonunda biri benimle aynı fikirde. Gangnam Style'ı sevmek için çok uğraştım ama beceremedim, dansını bile anlamıyorum. Böyle bir şarkı Gangnam Style'dan daha popüler olmalı, en azından mantıklı.","1"
" Dante B'nin Riled Up Adlı Yeni Sıcak Videosunu İzleyin","1"
" Dante B'nin Riled Up Adlı Yeni Sıcak Videosunu İzleyin","1"
"Hala dinliyorum, hala aynı zevk","0"
" ▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌ FACEBOOK ŞİFRESİ KIRMA 2013! facebook-pass-hack2013.blogspot.com HERHANGİ BİR FACEBOOK ŞİFRESİ KIRMAK İÇİN SADECE %100 ÇALIŞAN YAZILIM! İndirmek ÜCRETSİZDİR ve 10-15 dakikada herhangi bir şifreyi kırar! %100 virüssüz! Ayrıntılar ve ÜCRETSİZ İNDİRME için lütfen facebook-pass-hack2013.blogspot.com adresini ziyaret edin ▌ ...","1"
" Seni seviyorum!❤✨﻿","0"
" 2010? Zaman ne kadar da çabuk geçti..﻿","0"
" Herkese merhaba, ben Dakoda Bigelow. 17 yaşında bir şarkıcı, rapçi ve yapımcıyım. Şimdiye kadar 490.000'den fazla izlenme kazandım ancak bunu başarmak için daha fazla izlenmeye, beğeniye ve aboneye ihtiyacım var. Şarkım So Gone için hazırladığım yepyeni müzik videomu izleyin! Ayrıca Deaf adlı yeni şarkımı da dinleyin. Zamanınızın birkaç dakikasını ayırmanız çok takdir edilecektir ve pişman olmayacaksınız :) Lütfen daha fazla kişinin görebilmesi için beğenin! Desteğiniz için teşekkürler.","1"
" #2015 Evet, SİKTİR EDİN","0"
" eminem ginius durağıdır!﻿","0"
" Rap: havalı Rihanna: STTUUPID﻿","0"
" Sadece orada durup ağlamamı dinleyeceksin ..﻿","0"
" Aşk﻿","0"
" Bu şarkıdaki hisler ve duygular...Kahretsin","0"
" hepiniz j'nin eminem hakkındaki rantlarını izlemelisiniz","1"
" MEGAN FOX VE EMINEM BİR VİDEODA BİRLİKTE BUNDAN DAHA İYİSİ OLAMAZ","0"
"YouTube'daki bu videoyu izleyin: <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Eminem"">#Eminem</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Lovethewayyoulie"">#Lovethewayyoulie</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RapGod"">#RapGod</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23King"">#King</a>","1"
"yo biliyorum kimse muhtemelen bunu okumayacak bile.. Ama yine de yazacağım çünkü en azından bir kişinin okumasını umuyorum ben bir hayali olan rapçiyim. Biliyorum ki bu dünyada 200 bin tane var ama lütfen müziğimi dinleyin ve abone olun? eğer isterseniz.? teşekkürler, youtube'da iyi bir takipçi kitlesine sahip olmaktan başka hiçbir şey istemezdim.. eğer birileri? bunu okuyup &quot;THUMBS UP&quot; tuşuna basarsa diğer insanlar bunu basit bir düğmeye basarak görebilir? hayalim gerçek olabilir =) Teşekkür ederim","1"
" en iyi şarkı","0"
" beslememe abone ol","1"
"HERKES GİDİP FB, TWITTER, G+ ÜZERİNDEN YOUTUBE/ARkglzjQuP0'I PAYLAŞIP EMINEM'İN İLK YOUTUBE MÜZİK ÖDÜLLERİ'NDE YILIN SANATÇISI OLMASI İÇİN OY VERİN!!! VE İNTERNET RULETİNDE EMINEM'İN VİDEOSUNDAN HİLE ÇIKARMAK İÇİN BU YÖNTEMİ EDİNİN! YILIN ŞÜPHELİ SANATÇISI!","1"
" Em'in harika yeni şarkısı Monster'ı burada dinleyin: /watch?v=w6gkM-XNY2M MMLP2 FTW :)","1"
" SEKSİ VİDEOMUZU İZLE :*","1"
" SEKSİ VİDEOMUZU İZLE :*","1"
" Kayıp dizideki Charlie mi o?","0"
" Megan Fox'un bu videoda olduğunu başka fark eden var mı?","0"
"Daha fazla Instagram takipçisine veya fotoğraf beğenisine mi ihtiyacınız var? IGBlast.com'a göz atın ve dakikalar içinde edinin!","1"
" Dante B'nin Riled Up Adlı Yeni Sıcak Videosunu İzleyin","1"
" Dante B'nin Riled Up Adlı Yeni Sıcak Videosunu İzleyin","1"
" yo biliyorum kimse muhtemelen bunu okumayacak bile.. ama, yine de yazacağım çünkü en azından bir kişinin okumasını umuyorum ben bir hayali olan rapçiyim. Biliyorum ki bu dünyada 200 bin tane var ama lütfen müziğimi dinleyin ve abone olun? eğer isterseniz.? teşekkürler, youtube'da iyi bir takipçi kitlesine sahip olmaktan başka bir şey istemem.. eğer birileri? bunu okuyup &quot;THUMBS UP&quot; tuşuna basarsa diğer insanlar bunu basit bir düğmeye basarak görebilir? hayalim gerçek olabilir =) Teşekkür ederim","1"
"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be lütfen şarkımı dinleyin. geri bildirim ve destekçi arıyorum.","1"
" VİDEOLARIMI İZLEYİN VE ABONE OLUN","1"
" :D günlük vine'lar için bana abone olun","1"
" BAYILDIM!!!!!!!﻿","0"
" Hay dakota bir abone kazandın","1"
" Dinle... Andrew Guasch'a bak - Crazy, Sick Flow... I&#39;m dope... hepsi bu kadar. Beğenirsen abone ol, beğenmezsen yakında Aftermath of TDE ile birlikte olacağım. One Love, Peace.","1"
" Dante B'nin Riled Up Adlı Yeni Sıcak Videosunu İzleyin","1"
" Rap'ten nefret ediyorum ve bu şarkıyı seviyorum","0"
" Yalan söyleme şeklini seviyorum - Driveshaft﻿","0"
" 2010:(﻿","0"
" 1.000.000 YAKIN GÖRÜNTÜLEME","0"
" Arkadaşlar, FIREPA.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! FIREPA.COM'da ayda 3.000$'dan fazla kazanıyorum! FIREPA.COM'u ziyaret edin ve göz atın! Lake. Chillpal. Sturdy. Astauand. Johackle. Chorenn. Ethosien. Changeable. Public. Noxu. Ploosnar. Looplab. Hoppler. Delicious. False. Scitenoa. Locobot. Heartbreaking. Thirsty. Reminiscent","1"
" bu şarkı GÜZEL","0"
